id_produto,produto,regiao,lag_meses,r_ndvi_preco,p_valor,n_amostras,significativo
acucares,IPCA - Acucares e derivados,Nordeste,0,0.0722,0.4331,120,False
acucares,IPCA - Acucares e derivados,Nordeste,1,-0.0541,0.5593,119,False
acucares,IPCA - Acucares e derivados,Nordeste,2,-0.1569,0.0897,118,False
acucares,IPCA - Acucares e derivados,Nordeste,3,-0.3017,0.0009,117,True
acucares,IPCA - Acucares e derivados,Nordeste,4,-0.3207,0.0004,116,True
acucares,IPCA - Acucares e derivados,Nordeste,5,-0.2356,0.0113,115,True
acucares,IPCA - Acucares e derivados,Nordeste,6,-0.1153,0.2218,114,False
aves_ovos,IPCA - Aves e ovos,Nordeste,0,0.1505,0.1008,120,False
aves_ovos,IPCA - Aves e ovos,Nordeste,1,-0.0469,0.6128,119,False
aves_ovos,IPCA - Aves e ovos,Nordeste,2,-0.1332,0.1506,118,False
aves_ovos,IPCA - Aves e ovos,Nordeste,3,-0.2782,0.0024,117,True
aves_ovos,IPCA - Aves e ovos,Nordeste,4,-0.2515,0.0065,116,True
aves_ovos,IPCA - Aves e ovos,Nordeste,5,-0.2345,0.0116,115,True
aves_ovos,IPCA - Aves e ovos,Nordeste,6,-0.0365,0.7001,114,False
carnes,IPCA - Carnes e peixes,Nordeste,0,0.1045,0.2561,120,False
carnes,IPCA - Carnes e peixes,Nordeste,1,-0.0768,0.4064,119,False
carnes,IPCA - Carnes e peixes,Nordeste,2,-0.1508,0.1031,118,False
carnes,IPCA - Carnes e peixes,Nordeste,3,-0.3059,0.0008,117,True
carnes,IPCA - Carnes e peixes,Nordeste,4,-0.1766,0.0578,116,False
carnes,IPCA - Carnes e peixes,Nordeste,5,-0.2184,0.0191,115,True
carnes,IPCA - Carnes e peixes,Nordeste,6,-0.1577,0.0939,114,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,0,0.0199,0.8293,120,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,1,0.0303,0.7437,119,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,2,-0.01,0.9145,118,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,3,-0.1639,0.0775,117,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,4,-0.1897,0.0414,116,True
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,5,-0.1362,0.1468,115,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,6,0.0035,0.9705,114,False
frutas,IPCA - Frutas,Nordeste,0,-0.0587,0.5241,120,False
frutas,IPCA - Frutas,Nordeste,1,-0.097,0.2939,119,False
frutas,IPCA - Frutas,Nordeste,2,-0.1556,0.0924,118,False
frutas,IPCA - Frutas,Nordeste,3,-0.2547,0.0056,117,True
frutas,IPCA - Frutas,Nordeste,4,-0.1769,0.0575,116,False
frutas,IPCA - Frutas,Nordeste,5,-0.17,0.0694,115,False
frutas,IPCA - Frutas,Nordeste,6,-0.014,0.8824,114,False
horticultura,IPCA - Horticultura,Nordeste,0,-0.0082,0.9293,120,False
horticultura,IPCA - Horticultura,Nordeste,1,-0.0568,0.5397,119,False
horticultura,IPCA - Horticultura,Nordeste,2,-0.1696,0.0664,118,False
horticultura,IPCA - Horticultura,Nordeste,3,-0.3339,0.0002,117,True
horticultura,IPCA - Horticultura,Nordeste,4,-0.2372,0.0104,116,True
horticultura,IPCA - Horticultura,Nordeste,5,-0.1447,0.1228,115,False
horticultura,IPCA - Horticultura,Nordeste,6,0.0452,0.6327,114,False
ipca_geral,IPCA - Geral,Nordeste,0,0.0213,0.8177,120,False
ipca_geral,IPCA - Geral,Nordeste,1,-0.0698,0.4507,119,False
ipca_geral,IPCA - Geral,Nordeste,2,-0.1172,0.2064,118,False
ipca_geral,IPCA - Geral,Nordeste,3,-0.1777,0.0552,117,False
ipca_geral,IPCA - Geral,Nordeste,4,-0.1945,0.0364,116,True
ipca_geral,IPCA - Geral,Nordeste,5,-0.1268,0.1768,115,False
ipca_geral,IPCA - Geral,Nordeste,6,0.0092,0.9227,114,False
leite,IPCA - Leite e derivados,Nordeste,0,-0.2387,0.009,119,True
leite,IPCA - Leite e derivados,Nordeste,1,-0.1948,0.0345,118,True
leite,IPCA - Leite e derivados,Nordeste,2,-0.2788,0.0023,117,True
leite,IPCA - Leite e derivados,Nordeste,3,-0.2707,0.0033,116,True
leite,IPCA - Leite e derivados,Nordeste,4,-0.1072,0.2543,115,False
leite,IPCA - Leite e derivados,Nordeste,5,-0.0161,0.8652,114,False
leite,IPCA - Leite e derivados,Nordeste,6,0.1237,0.1916,113,False
oleos,IPCA - Oleos e gorduras,Nordeste,0,0.0882,0.338,120,False
oleos,IPCA - Oleos e gorduras,Nordeste,1,-0.0338,0.7152,119,False
oleos,IPCA - Oleos e gorduras,Nordeste,2,-0.149,0.1073,118,False
oleos,IPCA - Oleos e gorduras,Nordeste,3,-0.3118,0.0006,117,True
oleos,IPCA - Oleos e gorduras,Nordeste,4,-0.2648,0.0041,116,True
oleos,IPCA - Oleos e gorduras,Nordeste,5,-0.2499,0.0071,115,True
oleos,IPCA - Oleos e gorduras,Nordeste,6,-0.144,0.1263,114,False
panificados,IPCA - Panificados,Nordeste,0,-0.2203,0.0161,119,True
panificados,IPCA - Panificados,Nordeste,1,-0.1762,0.0563,118,False
panificados,IPCA - Panificados,Nordeste,2,-0.2615,0.0044,117,True
panificados,IPCA - Panificados,Nordeste,3,-0.3091,0.0007,116,True
panificados,IPCA - Panificados,Nordeste,4,-0.1236,0.1883,115,False
panificados,IPCA - Panificados,Nordeste,5,0.0651,0.4911,114,False
panificados,IPCA - Panificados,Nordeste,6,0.1455,0.1241,113,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,0,-0.0819,0.3736,120,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,1,-0.0345,0.7098,119,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,2,-0.0688,0.459,118,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,3,-0.2123,0.0216,117,True
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,4,-0.005,0.9574,116,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,5,0.0019,0.984,115,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,6,0.1479,0.1164,114,False
acucares,IPCA - Acucares e derivados,Sul,0,0.2448,0.0071,120,True
acucares,IPCA - Acucares e derivados,Sul,1,0.0679,0.4631,119,False
acucares,IPCA - Acucares e derivados,Sul,2,0.0257,0.782,118,False
acucares,IPCA - Acucares e derivados,Sul,3,-0.0342,0.714,117,False
acucares,IPCA - Acucares e derivados,Sul,4,-0.2572,0.0053,116,True
acucares,IPCA - Acucares e derivados,Sul,5,-0.2912,0.0016,115,True
acucares,IPCA - Acucares e derivados,Sul,6,-0.3055,0.001,114,True
aves_ovos,IPCA - Aves e ovos,Sul,0,0.0842,0.3606,120,False
aves_ovos,IPCA - Aves e ovos,Sul,1,0.0682,0.4612,119,False
