id_produto,produto,regiao,lag,r_pearson,p_valor,n_amostras,significativo
acucares,IPCA - Acucares e derivados,Nordeste,0,0.1732,0.0525,126,False
acucares,IPCA - Acucares e derivados,Nordeste,1,-0.0205,0.8202,125,False
acucares,IPCA - Acucares e derivados,Nordeste,2,-0.3034,0.0006,124,True
acucares,IPCA - Acucares e derivados,Nordeste,3,-0.3546,0.0001,123,True
acucares,IPCA - Acucares e derivados,Nordeste,6,-0.1169,0.2034,120,False
acucares,IPCA - Acucares e derivados,Sul,0,0.0777,0.3871,126,False
acucares,IPCA - Acucares e derivados,Sul,1,0.0489,0.5881,125,False
acucares,IPCA - Acucares e derivados,Sul,2,0.083,0.3594,124,False
acucares,IPCA - Acucares e derivados,Sul,3,0.0844,0.3531,123,False
acucares,IPCA - Acucares e derivados,Sul,6,-0.1497,0.1028,120,False
aves_ovos,IPCA - Aves e ovos,Nordeste,0,0.1687,0.059,126,False
aves_ovos,IPCA - Aves e ovos,Nordeste,1,0.0066,0.9417,125,False
aves_ovos,IPCA - Aves e ovos,Nordeste,2,-0.1923,0.0323,124,True
aves_ovos,IPCA - Aves e ovos,Nordeste,3,-0.3389,0.0001,123,True
aves_ovos,IPCA - Aves e ovos,Nordeste,6,-0.137,0.1358,120,False
aves_ovos,IPCA - Aves e ovos,Sul,0,0.0888,0.3229,126,False
aves_ovos,IPCA - Aves e ovos,Sul,1,0.1141,0.2051,125,False
aves_ovos,IPCA - Aves e ovos,Sul,2,0.097,0.2836,124,False
aves_ovos,IPCA - Aves e ovos,Sul,3,0.2201,0.0144,123,True
aves_ovos,IPCA - Aves e ovos,Sul,6,-0.1701,0.0632,120,False
carnes,IPCA - Carnes e peixes,Nordeste,0,0.1597,0.0741,126,False
carnes,IPCA - Carnes e peixes,Nordeste,1,0.0164,0.8556,125,False
carnes,IPCA - Carnes e peixes,Nordeste,2,-0.2407,0.0071,124,True
carnes,IPCA - Carnes e peixes,Nordeste,3,-0.3403,0.0001,123,True
carnes,IPCA - Carnes e peixes,Nordeste,6,-0.1372,0.135,120,False
carnes,IPCA - Carnes e peixes,Sul,0,0.0351,0.6966,126,False
carnes,IPCA - Carnes e peixes,Sul,1,0.1131,0.209,125,False
carnes,IPCA - Carnes e peixes,Sul,2,0.0506,0.577,124,False
carnes,IPCA - Carnes e peixes,Sul,3,0.0817,0.3692,123,False
carnes,IPCA - Carnes e peixes,Sul,6,-0.0288,0.7551,120,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,0,0.1485,0.097,126,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,1,0.0243,0.7882,125,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,2,-0.0776,0.3917,124,False
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,3,-0.2161,0.0164,123,True
cereais,"IPCA - Cereais, leguminosas e oleag",Nordeste,6,-0.0779,0.3975,120,False
cereais,"IPCA - Cereais, leguminosas e oleag",Sul,0,-0.0167,0.8527,126,False
cereais,"IPCA - Cereais, leguminosas e oleag",Sul,1,0.0506,0.5749,125,False
cereais,"IPCA - Cereais, leguminosas e oleag",Sul,2,0.0831,0.3588,124,False
cereais,"IPCA - Cereais, leguminosas e oleag",Sul,3,0.0619,0.4963,123,False
cereais,"IPCA - Cereais, leguminosas e oleag",Sul,6,-0.0631,0.4936,120,False
frutas,IPCA - Frutas,Nordeste,0,0.052,0.5634,126,False
frutas,IPCA - Frutas,Nordeste,1,-0.1276,0.1562,125,False
frutas,IPCA - Frutas,Nordeste,2,-0.2427,0.0066,124,True
frutas,IPCA - Frutas,Nordeste,3,-0.3178,0.0003,123,True
