periodo,data_ref,ano,mes,trimestre,semestre,nome_mes
201501,2015-01-01,2015,1,1,1,January
201502,2015-02-01,2015,2,1,1,February
201503,2015-03-01,2015,3,1,1,March
201504,2015-04-01,2015,4,2,1,April
201505,2015-05-01,2015,5,2,1,May
201506,2015-06-01,2015,6,2,1,June
201507,2015-07-01,2015,7,3,2,July
201508,2015-08-01,2015,8,3,2,August
201509,2015-09-01,2015,9,3,2,September
201510,2015-10-01,2015,10,4,2,October
201511,2015-11-01,2015,11,4,2,November
201512,2015-12-01,2015,12,4,2,December
201601,2016-01-01,2016,1,1,1,January
201602,2016-02-01,2016,2,1,1,February
201603,2016-03-01,2016,3,1,1,March
201604,2016-04-01,2016,4,2,1,April
201605,2016-05-01,2016,5,2,1,May
201606,2016-06-01,2016,6,2,1,June
201607,2016-07-01,2016,7,3,2,July
201608,2016-08-01,2016,8,3,2,August
201609,2016-09-01,2016,9,3,2,September
201610,2016-10-01,2016,10,4,2,October
201611,2016-11-01,2016,11,4,2,November
201612,2016-12-01,2016,12,4,2,December
201701,2017-01-01,2017,1,1,1,January
201702,2017-02-01,2017,2,1,1,February
201703,2017-03-01,2017,3,1,1,March
201704,2017-04-01,2017,4,2,1,April
201705,2017-05-01,2017,5,2,1,May
201706,2017-06-01,2017,6,2,1,June
201707,2017-07-01,2017,7,3,2,July
201708,2017-08-01,2017,8,3,2,August
201709,2017-09-01,2017,9,3,2,September
201710,2017-10-01,2017,10,4,2,October
201711,2017-11-01,2017,11,4,2,November
201712,2017-12-01,2017,12,4,2,December
201801,2018-01-01,2018,1,1,1,January
201802,2018-02-01,2018,2,1,1,February
201803,2018-03-01,2018,3,1,1,March
201804,2018-04-01,2018,4,2,1,April
201805,2018-05-01,2018,5,2,1,May
201806,2018-06-01,2018,6,2,1,June
201807,2018-07-01,2018,7,3,2,July
201808,2018-08-01,2018,8,3,2,August
201809,2018-09-01,2018,9,3,2,September
201810,2018-10-01,2018,10,4,2,October
201811,2018-11-01,2018,11,4,2,November
201812,2018-12-01,2018,12,4,2,December
201901,2019-01-01,2019,1,1,1,January
201902,2019-02-01,2019,2,1,1,February
201903,2019-03-01,2019,3,1,1,March
201904,2019-04-01,2019,4,2,1,April
201905,2019-05-01,2019,5,2,1,May
201906,2019-06-01,2019,6,2,1,June
201907,2019-07-01,2019,7,3,2,July
201908,2019-08-01,2019,8,3,2,August
201909,2019-09-01,2019,9,3,2,September
201910,2019-10-01,2019,10,4,2,October
201911,2019-11-01,2019,11,4,2,November
