periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios,media_hist_mm,anomalia_pct,evento_climatico
201501,2015,1,AL,Nordeste,Mata Atlântica,Maceió,29.2,8,28.470967741935485,24.154838709677417,31,67.04166666666667,-56.44,seca_moderada
201502,2015,2,AL,Nordeste,Mata Atlântica,Maceió,68.4,6,28.90714285714285,24.425,28,66.83333333333333,2.34,normal
201503,2015,3,AL,Nordeste,Mata Atlântica,Maceió,62.3,5,28.74516129032258,24.38387096774193,31,122.56666666666666,-49.17,seca_moderada
201504,2015,4,AL,Nordeste,Mata Atlântica,Maceió,27.9,8,29.516666666666666,24.516666666666666,30,110.84166666666665,-74.83,seca_severa
201505,2015,5,AL,Nordeste,Mata Atlântica,Maceió,98.5,3,28.12903225806452,23.948387096774194,31,211.17499999999998,-53.36,seca_moderada
201506,2015,6,AL,Nordeste,Mata Atlântica,Maceió,162.0,0,26.53,23.00333333333333,30,185.45000000000002,-12.64,normal
201507,2015,7,AL,Nordeste,Mata Atlântica,Maceió,163.4,1,25.80322580645161,22.561290322580643,31,157.39090909090908,3.82,normal
201508,2015,8,AL,Nordeste,Mata Atlântica,Maceió,77.9,3,25.88064516129032,22.151612903225807,31,123.98181818181818,-37.17,seca_moderada
201509,2015,9,AL,Nordeste,Mata Atlântica,Maceió,38.7,7,26.683333333333334,22.85333333333333,30,79.89090909090909,-51.56,seca_moderada
201510,2015,10,AL,Nordeste,Mata Atlântica,Maceió,28.6,13,27.567741935483877,23.43548387096774,31,53.16363636363636,-46.2,seca_moderada
201511,2015,11,AL,Nordeste,Mata Atlântica,Maceió,13.7,21,29.15,24.006666666666668,30,54.25454545454545,-74.75,seca_severa
201512,2015,12,AL,Nordeste,Mata Atlântica,Maceió,36.9,9,29.11290322580645,24.42258064516129,31,57.2,-35.49,seca_moderada
201601,2016,1,AL,Nordeste,Mata Atlântica,Maceió,71.9,5,29.216129032258067,24.706451612903223,31,67.04166666666667,7.25,normal
201602,2016,2,AL,Nordeste,Mata Atlântica,Maceió,53.4,6,28.92413793103448,24.70344827586207,29,66.83333333333333,-20.1,normal
201603,2016,3,AL,Nordeste,Mata Atlântica,Maceió,76.2,3,28.932258064516127,24.86774193548387,31,122.56666666666666,-37.83,seca_moderada
201604,2016,4,AL,Nordeste,Mata Atlântica,Maceió,79.9,1,28.516666666666666,24.76333333333333,30,110.84166666666665,-27.92,normal
201605,2016,5,AL,Nordeste,Mata Atlântica,Maceió,127.9,3,27.451612903225808,23.84193548387097,31,211.17499999999998,-39.43,seca_moderada
201606,2016,6,AL,Nordeste,Mata Atlântica,Maceió,74.89999999999999,2,26.85666666666667,23.09,30,185.45000000000002,-59.61,seca_moderada
201607,2016,7,AL,Nordeste,Mata Atlântica,Maceió,70.1,3,26.01935483870968,22.458064516129035,31,157.39090909090908,-55.46,seca_moderada
201608,2016,8,AL,Nordeste,Mata Atlântica,Maceió,38.9,10,26.448387096774194,22.76451612903226,31,123.98181818181818,-68.62,seca_severa
201609,2016,9,AL,Nordeste,Mata Atlântica,Maceió,44.2,6,26.863333333333333,22.99,30,79.89090909090909,-44.67,seca_moderada
201610,2016,10,AL,Nordeste,Mata Atlântica,Maceió,35.9,8,28.05806451612903,23.66774193548387,31,53.16363636363636,-32.47,seca_moderada
201611,2016,11,AL,Nordeste,Mata Atlântica,Maceió,22.0,6,28.48333333333333,24.13,30,54.25454545454545,-59.45,seca_moderada
201612,2016,12,AL,Nordeste,Mata Atlântica,Maceió,21.2,12,29.203225806451613,24.76129032258065,31,57.2,-62.94,seca_severa
201701,2017,1,AL,Nordeste,Mata Atlântica,Maceió,70.4,2,28.41290322580645,24.93548387096774,31,67.04166666666667,5.01,normal
201702,2017,2,AL,Nordeste,Mata Atlântica,Maceió,66.6,1,28.664285714285715,25.15,28,66.83333333333333,-0.35,normal
201703,2017,3,AL,Nordeste,Mata Atlântica,Maceió,81.5,1,28.848387096774196,25.306451612903224,31,122.56666666666666,-33.51,seca_moderada
201704,2017,4,AL,Nordeste,Mata Atlântica,Maceió,130.7,0,28.176666666666662,25.05666666666667,30,110.84166666666665,17.92,normal
201705,2017,5,AL,Nordeste,Mata Atlântica,Maceió,320.3,1,27.05806451612903,24.432258064516127,31,211.17499999999998,51.68,chuva_intensa
201706,2017,6,AL,Nordeste,Mata Atlântica,Maceió,238.2,0,26.48333333333333,23.82333333333333,30,185.45000000000002,28.44,normal
201707,2017,7,AL,Nordeste,Mata Atlântica,Maceió,234.3,1,25.358064516129037,22.796774193548387,31,157.39090909090908,48.87,normal
201708,2017,8,AL,Nordeste,Mata Atlântica,Maceió,123.2,0,25.25483870967742,22.41290322580645,31,123.98181818181818,-0.63,normal
201709,2017,9,AL,Nordeste,Mata Atlântica,Maceió,116.8,0,25.716666666666665,22.69333333333333,30,79.89090909090909,46.2,normal
201710,2017,10,AL,Nordeste,Mata Atlântica,Maceió,58.9,0,26.625806451612902,23.570967741935487,31,53.16363636363636,10.79,normal
201711,2017,11,AL,Nordeste,Mata Atlântica,Maceió,35.9,4,27.89333333333333,24.046666666666667,30,54.25454545454545,-33.83,seca_moderada
201712,2017,12,AL,Nordeste,Mata Atlântica,Maceió,47.8,6,28.561290322580643,24.635483870967743,31,57.2,-16.43,normal
