periodo,id_categoria,categoria,variacao_mensal_pct,precip_nordeste_mm,precip_nordeste_mm_lag1,precip_nordeste_mm_lag2,precip_nordeste_mm_lag3,precip_nordeste_mm_lag6,precip_sul_mm,precip_sul_mm_lag1,precip_sul_mm_lag2,precip_sul_mm_lag3,precip_sul_mm_lag6,ano,mes
201501,acucares,IPCA - Acucares e derivados,2.4667,41.24444444444444,,,,,217.70000000000002,,,,,2015,1
201502,acucares,IPCA - Acucares e derivados,2.6872,125.17777777777776,41.24444444444444,,,,232.4,217.70000000000002,,,,2015,2
201503,acucares,IPCA - Acucares e derivados,0.7721,172.58888888888887,125.17777777777776,41.24444444444444,,,140.6,232.4,217.70000000000002,,,2015,3
201504,acucares,IPCA - Acucares e derivados,3.9767,118.8777777777778,172.58888888888887,125.17777777777776,41.24444444444444,,49.43333333333334,140.6,232.4,217.70000000000002,,2015,4
201505,acucares,IPCA - Acucares e derivados,1.3004,137.45555555555555,118.8777777777778,172.58888888888887,125.17777777777776,,135.20000000000002,49.43333333333334,140.6,232.4,,2015,5
201506,acucares,IPCA - Acucares e derivados,1.8697,124.38888888888889,137.45555555555555,118.8777777777778,172.58888888888887,,129.5,135.20000000000002,49.43333333333334,140.6,,2015,6
201507,acucares,IPCA - Acucares e derivados,-0.9532,113.15555555555557,124.38888888888889,137.45555555555555,118.8777777777778,41.24444444444444,184.46666666666667,129.5,135.20000000000002,49.43333333333334,217.70000000000002,2015,7
201508,acucares,IPCA - Acucares e derivados,0.2806,40.81111111111111,113.15555555555557,124.38888888888889,137.45555555555555,125.17777777777776,57.699999999999996,184.46666666666667,129.5,135.20000000000002,232.4,2015,8
201509,acucares,IPCA - Acucares e derivados,-2.518,20.744444444444444,40.81111111111111,113.15555555555557,124.38888888888889,172.58888888888887,168.9,57.699999999999996,184.46666666666667,129.5,140.6,2015,9
201510,acucares,IPCA - Acucares e derivados,-0.4939,15.566666666666666,20.744444444444444,40.81111111111111,113.15555555555557,118.8777777777778,202.73333333333335,168.9,57.699999999999996,184.46666666666667,49.43333333333334,2015,10
201511,acucares,IPCA - Acucares e derivados,4.0178,6.322222222222222,15.566666666666666,20.744444444444444,40.81111111111111,137.45555555555555,172.83333333333334,202.73333333333335,168.9,57.699999999999996,135.20000000000002,2015,11
201512,acucares,IPCA - Acucares e derivados,2.1506,44.97777777777778,6.322222222222222,15.566666666666666,20.744444444444444,124.38888888888889,244.4,172.83333333333334,202.73333333333335,168.9,129.5,2015,12
201601,acucares,IPCA - Acucares e derivados,10.3939,162.77777777777777,44.97777777777778,6.322222222222222,15.566666666666666,113.15555555555557,114.76666666666667,244.4,172.83333333333334,202.73333333333335,184.46666666666667,2016,1
