periodo,id_categoria,categoria,variacao_mensal_pct,numero_indice,ano,mes
201501,acucares,IPCA - Acucares e derivados,2.4667,,2015,1
201502,acucares,IPCA - Acucares e derivados,2.6872,,2015,2
201503,acucares,IPCA - Acucares e derivados,0.7721,,2015,3
201504,acucares,IPCA - Acucares e derivados,3.9767,,2015,4
201505,acucares,IPCA - Acucares e derivados,1.3004,,2015,5
201506,acucares,IPCA - Acucares e derivados,1.8697,,2015,6
201507,acucares,IPCA - Acucares e derivados,-0.9532,,2015,7
201508,acucares,IPCA - Acucares e derivados,0.2806,,2015,8
201509,acucares,IPCA - Acucares e derivados,-2.518,,2015,9
201510,acucares,IPCA - Acucares e derivados,-0.4939,,2015,10
201511,acucares,IPCA - Acucares e derivados,4.0178,,2015,11
201512,acucares,IPCA - Acucares e derivados,2.1506,,2015,12
201601,acucares,IPCA - Acucares e derivados,10.3939,,2016,1
201602,acucares,IPCA - Acucares e derivados,3.1194,,2016,2
201603,acucares,IPCA - Acucares e derivados,-2.4344,,2016,3
201604,acucares,IPCA - Acucares e derivados,3.9644,,2016,4
201605,acucares,IPCA - Acucares e derivados,-1.2137,,2016,5
201606,acucares,IPCA - Acucares e derivados,1.2922,,2016,6
201607,acucares,IPCA - Acucares e derivados,5.7859,,2016,7
201608,acucares,IPCA - Acucares e derivados,-0.3641,,2016,8
201609,acucares,IPCA - Acucares e derivados,0.2825,,2016,9
201610,acucares,IPCA - Acucares e derivados,-0.367,,2016,10
201611,acucares,IPCA - Acucares e derivados,-3.8521,,2016,11
201612,acucares,IPCA - Acucares e derivados,-1.2114,,2016,12
201701,acucares,IPCA - Acucares e derivados,0.762,,2017,1
201702,acucares,IPCA - Acucares e derivados,-1.1384,,2017,2
201703,acucares,IPCA - Acucares e derivados,2.5853,,2017,3
201704,acucares,IPCA - Acucares e derivados,2.2289,,2017,4
201705,acucares,IPCA - Acucares e derivados,0.3372,,2017,5
201706,acucares,IPCA - Acucares e derivados,-3.6555,,2017,6
201707,acucares,IPCA - Acucares e derivados,-2.2635,,2017,7
201708,acucares,IPCA - Acucares e derivados,-2.8582,,2017,8
201709,acucares,IPCA - Acucares e derivados,-4.62,,2017,9
201710,acucares,IPCA - Acucares e derivados,-1.3379,,2017,10
201711,acucares,IPCA - Acucares e derivados,-1.6587,,2017,11
201712,acucares,IPCA - Acucares e derivados,1.422,,2017,12
201801,acucares,IPCA - Acucares e derivados,11.9082,,2018,1
201802,acucares,IPCA - Acucares e derivados,-3.9619,,2018,2
201803,acucares,IPCA - Acucares e derivados,-1.2198,,2018,3
201804,acucares,IPCA - Acucares e derivados,-4.0191,,2018,4
201805,acucares,IPCA - Acucares e derivados,3.1718,,2018,5
201806,acucares,IPCA - Acucares e derivados,0.9757,,2018,6
201807,acucares,IPCA - Acucares e derivados,-0.7576,,2018,7
201808,acucares,IPCA - Acucares e derivados,-3.3588,,2018,8
201809,acucares,IPCA - Acucares e derivados,-1.9375,,2018,9
201810,acucares,IPCA - Acucares e derivados,1.5532,,2018,10
201811,acucares,IPCA - Acucares e derivados,1.5834,,2018,11
201812,acucares,IPCA - Acucares e derivados,1.7148,,2018,12
201901,acucares,IPCA - Acucares e derivados,4.5509,,2019,1
201902,acucares,IPCA - Acucares e derivados,4.8044,,2019,2
201903,acucares,IPCA - Acucares e derivados,5.8478,,2019,3
201904,acucares,IPCA - Acucares e derivados,2.9697,,2019,4
201905,acucares,IPCA - Acucares e derivados,-2.1103,,2019,5
201906,acucares,IPCA - Acucares e derivados,-1.2018,,2019,6
201907,acucares,IPCA - Acucares e derivados,-3.2955,,2019,7
201908,acucares,IPCA - Acucares e derivados,-4.5957,,2019,8
201909,acucares,IPCA - Acucares e derivados,-2.24,,2019,9
201910,acucares,IPCA - Acucares e derivados,-2.3441,,2019,10
201911,acucares,IPCA - Acucares e derivados,-1.1532,,2019,11
201912,acucares,IPCA - Acucares e derivados,7.6108,,2019,12
202001,acucares,IPCA - Acucares e derivados,3.8709,,2020,1
202002,acucares,IPCA - Acucares e derivados,4.1132,,2020,2
202003,acucares,IPCA - Acucares e derivados,2.4927,,2020,3
202004,acucares,IPCA - Acucares e derivados,5.7674,,2020,4
202005,acucares,IPCA - Acucares e derivados,0.5298,,2020,5
202006,acucares,IPCA - Acucares e derivados,-2.2283,,2020,6
202007,acucares,IPCA - Acucares e derivados,-2.9481,,2020,7
202008,acucares,IPCA - Acucares e derivados,-0.778,,2020,8
202009,acucares,IPCA - Acucares e derivados,4.2316,,2020,9
202010,acucares,IPCA - Acucares e derivados,4.1501,,2020,10
202011,acucares,IPCA - Acucares e derivados,1.0845,,2020,11
202012,acucares,IPCA - Acucares e derivados,4.4718,,2020,12
202101,acucares,IPCA - Acucares e derivados,-0.6987,,2021,1
202102,acucares,IPCA - Acucares e derivados,2.6851,,2021,2
202103,acucares,IPCA - Acucares e derivados,-1.2424,,2021,3
202104,acucares,IPCA - Acucares e derivados,2.4074,,2021,4
202105,acucares,IPCA - Acucares e derivados,0.3245,,2021,5
202106,acucares,IPCA - Acucares e derivados,0.8401,,2021,6
202107,acucares,IPCA - Acucares e derivados,-0.6979,,2021,7
202108,acucares,IPCA - Acucares e derivados,-0.2783,,2021,8
202109,acucares,IPCA - Acucares e derivados,-2.9128,,2021,9
202110,acucares,IPCA - Acucares e derivados,3.0401,,2021,10
202111,acucares,IPCA - Acucares e derivados,3.6223,,2021,11
202112,acucares,IPCA - Acucares e derivados,0.3753,,2021,12
202201,acucares,IPCA - Acucares e derivados,5.4481,,2022,1
202202,acucares,IPCA - Acucares e derivados,1.9827,,2022,2
202203,acucares,IPCA - Acucares e derivados,3.3696,,2022,3
202204,acucares,IPCA - Acucares e derivados,1.032,,2022,4
202205,acucares,IPCA - Acucares e derivados,-1.0511,,2022,5
202206,acucares,IPCA - Acucares e derivados,3.3576,,2022,6
202207,acucares,IPCA - Acucares e derivados,-2.4031,,2022,7
202208,acucares,IPCA - Acucares e derivados,-0.7719,,2022,8
202209,acucares,IPCA - Acucares e derivados,-1.0366,,2022,9
202210,acucares,IPCA - Acucares e derivados,-0.489,,2022,10
202211,acucares,IPCA - Acucares e derivados,-1.276,,2022,11
202212,acucares,IPCA - Acucares e derivados,1.7034,,2022,12
202301,acucares,IPCA - Acucares e derivados,6.8026,,2023,1
202302,acucares,IPCA - Acucares e derivados,0.0067,,2023,2
202303,acucares,IPCA - Acucares e derivados,-3.4211,,2023,3
202304,acucares,IPCA - Acucares e derivados,1.0094,,2023,4
202305,acucares,IPCA - Acucares e derivados,-0.7636,,2023,5
202306,acucares,IPCA - Acucares e derivados,4.1208,,2023,6
202307,acucares,IPCA - Acucares e derivados,-3.8982,,2023,7
202308,acucares,IPCA - Acucares e derivados,-2.7937,,2023,8
202309,acucares,IPCA - Acucares e derivados,-0.4371,,2023,9
202310,acucares,IPCA - Acucares e derivados,-1.3722,,2023,10
202311,acucares,IPCA - Acucares e derivados,-1.1804,,2023,11
202312,acucares,IPCA - Acucares e derivados,-1.0997,,2023,12
202401,acucares,IPCA - Acucares e derivados,3.2215,,2024,1
202402,acucares,IPCA - Acucares e derivados,0.845,,2024,2
202403,acucares,IPCA - Acucares e derivados,3.318,,2024,3
202404,acucares,IPCA - Acucares e derivados,5.4044,,2024,4
202405,acucares,IPCA - Acucares e derivados,0.963,,2024,5
202406,acucares,IPCA - Acucares e derivados,-3.7621,,2024,6
202407,acucares,IPCA - Acucares e derivados,-4.1753,,2024,7
202408,acucares,IPCA - Acucares e derivados,-4.1022,,2024,8
202409,acucares,IPCA - Acucares e derivados,0.6285,,2024,9
202410,acucares,IPCA - Acucares e derivados,2.5545,,2024,10
202411,acucares,IPCA - Acucares e derivados,4.3004,,2024,11
202412,acucares,IPCA - Acucares e derivados,2.7233,,2024,12
201501,aves_ovos,IPCA - Aves e ovos,1.024,,2015,1
201502,aves_ovos,IPCA - Aves e ovos,1.3225,,2015,2
201503,aves_ovos,IPCA - Aves e ovos,1.6291,,2015,3
201504,aves_ovos,IPCA - Aves e ovos,0.8718,,2015,4
201505,aves_ovos,IPCA - Aves e ovos,4.9906,,2015,5
201506,aves_ovos,IPCA - Aves e ovos,5.1104,,2015,6
201507,aves_ovos,IPCA - Aves e ovos,-4.7636,,2015,7
201508,aves_ovos,IPCA - Aves e ovos,-1.4207,,2015,8
201509,aves_ovos,IPCA - Aves e ovos,-4.5597,,2015,9
201510,aves_ovos,IPCA - Aves e ovos,0.7895,,2015,10
201511,aves_ovos,IPCA - Aves e ovos,1.234,,2015,11
201512,aves_ovos,IPCA - Aves e ovos,7.8879,,2015,12
201601,aves_ovos,IPCA - Aves e ovos,6.5798,,2016,1
201602,aves_ovos,IPCA - Aves e ovos,8.6409,,2016,2
201603,aves_ovos,IPCA - Aves e ovos,1.723,,2016,3
201604,aves_ovos,IPCA - Aves e ovos,-0.3286,,2016,4
201605,aves_ovos,IPCA - Aves e ovos,-2.3127,,2016,5
201606,aves_ovos,IPCA - Aves e ovos,4.0474,,2016,6
201607,aves_ovos,IPCA - Aves e ovos,-0.6034,,2016,7
201608,aves_ovos,IPCA - Aves e ovos,1.099,,2016,8
201609,aves_ovos,IPCA - Aves e ovos,0.7358,,2016,9
201610,aves_ovos,IPCA - Aves e ovos,0.1414,,2016,10
201611,aves_ovos,IPCA - Aves e ovos,-2.1575,,2016,11
201612,aves_ovos,IPCA - Aves e ovos,-1.2384,,2016,12
201701,aves_ovos,IPCA - Aves e ovos,-1.0494,,2017,1
201702,aves_ovos,IPCA - Aves e ovos,-2.6649,,2017,2
201703,aves_ovos,IPCA - Aves e ovos,-0.3438,,2017,3
201704,aves_ovos,IPCA - Aves e ovos,0.9919,,2017,4
201705,aves_ovos,IPCA - Aves e ovos,1.1655,,2017,5
201706,aves_ovos,IPCA - Aves e ovos,-2.4208,,2017,6
201707,aves_ovos,IPCA - Aves e ovos,-1.1043,,2017,7
201708,aves_ovos,IPCA - Aves e ovos,-3.3061,,2017,8
201709,aves_ovos,IPCA - Aves e ovos,-1.5779,,2017,9
201710,aves_ovos,IPCA - Aves e ovos,-0.7732,,2017,10
201711,aves_ovos,IPCA - Aves e ovos,-2.2587,,2017,11
201712,aves_ovos,IPCA - Aves e ovos,-0.577,,2017,12
201801,aves_ovos,IPCA - Aves e ovos,2.8934,,2018,1
201802,aves_ovos,IPCA - Aves e ovos,3.3707,,2018,2
201803,aves_ovos,IPCA - Aves e ovos,-3.2423,,2018,3
201804,aves_ovos,IPCA - Aves e ovos,-0.237,,2018,4
201805,aves_ovos,IPCA - Aves e ovos,0.3741,,2018,5
201806,aves_ovos,IPCA - Aves e ovos,3.8334,,2018,6
201807,aves_ovos,IPCA - Aves e ovos,-5.3819,,2018,7
201808,aves_ovos,IPCA - Aves e ovos,-0.2243,,2018,8
201809,aves_ovos,IPCA - Aves e ovos,-0.2193,,2018,9
201810,aves_ovos,IPCA - Aves e ovos,0.6092,,2018,10
201811,aves_ovos,IPCA - Aves e ovos,2.914,,2018,11
201812,aves_ovos,IPCA - Aves e ovos,2.7052,,2018,12
201901,aves_ovos,IPCA - Aves e ovos,0.6461,,2019,1
201902,aves_ovos,IPCA - Aves e ovos,-0.2651,,2019,2
201903,aves_ovos,IPCA - Aves e ovos,6.491,,2019,3
201904,aves_ovos,IPCA - Aves e ovos,3.5481,,2019,4
201905,aves_ovos,IPCA - Aves e ovos,-1.2099,,2019,5
201906,aves_ovos,IPCA - Aves e ovos,-2.483,,2019,6
201907,aves_ovos,IPCA - Aves e ovos,-1.0597,,2019,7
201908,aves_ovos,IPCA - Aves e ovos,-2.333,,2019,8
201909,aves_ovos,IPCA - Aves e ovos,-3.003,,2019,9
201910,aves_ovos,IPCA - Aves e ovos,-1.2405,,2019,10
201911,aves_ovos,IPCA - Aves e ovos,1.0361,,2019,11
201912,aves_ovos,IPCA - Aves e ovos,8.6157,,2019,12
202001,aves_ovos,IPCA - Aves e ovos,0.3453,,2020,1
202002,aves_ovos,IPCA - Aves e ovos,4.1847,,2020,2
202003,aves_ovos,IPCA - Aves e ovos,-3.2683,,2020,3
202004,aves_ovos,IPCA - Aves e ovos,3.6748,,2020,4
202005,aves_ovos,IPCA - Aves e ovos,4.4151,,2020,5
202006,aves_ovos,IPCA - Aves e ovos,0.1125,,2020,6
202007,aves_ovos,IPCA - Aves e ovos,-2.8378,,2020,7
202008,aves_ovos,IPCA - Aves e ovos,0.1179,,2020,8
202009,aves_ovos,IPCA - Aves e ovos,4.009,,2020,9
202010,aves_ovos,IPCA - Aves e ovos,1.9621,,2020,10
202011,aves_ovos,IPCA - Aves e ovos,3.9041,,2020,11
202012,aves_ovos,IPCA - Aves e ovos,2.9579,,2020,12
202101,aves_ovos,IPCA - Aves e ovos,1.2817,,2021,1
202102,aves_ovos,IPCA - Aves e ovos,1.1117,,2021,2
202103,aves_ovos,IPCA - Aves e ovos,0.5498,,2021,3
202104,aves_ovos,IPCA - Aves e ovos,-1.9195,,2021,4
202105,aves_ovos,IPCA - Aves e ovos,1.9709,,2021,5
202106,aves_ovos,IPCA - Aves e ovos,0.5215,,2021,6
202107,aves_ovos,IPCA - Aves e ovos,0.7965,,2021,7
202108,aves_ovos,IPCA - Aves e ovos,1.4292,,2021,8
202109,aves_ovos,IPCA - Aves e ovos,0.4584,,2021,9
202110,aves_ovos,IPCA - Aves e ovos,1.1041,,2021,10
202111,aves_ovos,IPCA - Aves e ovos,2.2658,,2021,11
202112,aves_ovos,IPCA - Aves e ovos,1.1314,,2021,12
202201,aves_ovos,IPCA - Aves e ovos,1.275,,2022,1
202202,aves_ovos,IPCA - Aves e ovos,1.931,,2022,2
202203,aves_ovos,IPCA - Aves e ovos,1.9222,,2022,3
202204,aves_ovos,IPCA - Aves e ovos,4.1645,,2022,4
202205,aves_ovos,IPCA - Aves e ovos,2.9936,,2022,5
202206,aves_ovos,IPCA - Aves e ovos,0.5854,,2022,6
202207,aves_ovos,IPCA - Aves e ovos,0.1392,,2022,7
202208,aves_ovos,IPCA - Aves e ovos,0.2701,,2022,8
202209,aves_ovos,IPCA - Aves e ovos,-1.9516,,2022,9
202210,aves_ovos,IPCA - Aves e ovos,-1.1631,,2022,10
202211,aves_ovos,IPCA - Aves e ovos,1.4743,,2022,11
202212,aves_ovos,IPCA - Aves e ovos,2.4268,,2022,12
202301,aves_ovos,IPCA - Aves e ovos,2.4037,,2023,1
202302,aves_ovos,IPCA - Aves e ovos,1.2477,,2023,2
202303,aves_ovos,IPCA - Aves e ovos,0.2353,,2023,3
202304,aves_ovos,IPCA - Aves e ovos,-0.5673,,2023,4
202305,aves_ovos,IPCA - Aves e ovos,1.3666,,2023,5
202306,aves_ovos,IPCA - Aves e ovos,-1.4795,,2023,6
202307,aves_ovos,IPCA - Aves e ovos,-1.4351,,2023,7
202308,aves_ovos,IPCA - Aves e ovos,-1.5851,,2023,8
202309,aves_ovos,IPCA - Aves e ovos,-1.0279,,2023,9
202310,aves_ovos,IPCA - Aves e ovos,-0.0963,,2023,10
202311,aves_ovos,IPCA - Aves e ovos,0.3571,,2023,11
202312,aves_ovos,IPCA - Aves e ovos,1.6153,,2023,12
202401,aves_ovos,IPCA - Aves e ovos,1.7569,,2024,1
202402,aves_ovos,IPCA - Aves e ovos,1.2698,,2024,2
202403,aves_ovos,IPCA - Aves e ovos,0.3623,,2024,3
202404,aves_ovos,IPCA - Aves e ovos,2.0853,,2024,4
202405,aves_ovos,IPCA - Aves e ovos,1.3985,,2024,5
202406,aves_ovos,IPCA - Aves e ovos,0.6657,,2024,6
202407,aves_ovos,IPCA - Aves e ovos,-1.8963,,2024,7
202408,aves_ovos,IPCA - Aves e ovos,-2.5601,,2024,8
202409,aves_ovos,IPCA - Aves e ovos,-2.5762,,2024,9
202410,aves_ovos,IPCA - Aves e ovos,0.3257,,2024,10
202411,aves_ovos,IPCA - Aves e ovos,2.0188,,2024,11
