periodo_referencia,oni_atual,fase_enso,regiao,produto,horizonte_meses,direcao_preco,intensidade,r_oni_precip,r_precip_preco,confianca,pct_confianca,mensagem_alerta,mensagem_varejista,mensagem_restaurante
202603,-0.14,Neutro,Nordeste,IPCA - Acucares e derivados,8,ESTAVEL,sem anomalia,-0.353,-0.303,alta,50,Sem risco relevante para acucares e derivados no momento.,Sem risco relevante para acucares e derivados no momento.,Sem risco relevante para acucares e derivados no momento.
202603,-0.14,Neutro,Nordeste,IPCA - Acucares e derivados,9,ESTAVEL,sem anomalia,-0.353,-0.355,alta,50,Sem risco relevante para acucares e derivados no momento.,Sem risco relevante para acucares e derivados no momento.,Sem risco relevante para acucares e derivados no momento.
202603,-0.14,Neutro,Nordeste,IPCA - Aves e ovos,8,ESTAVEL,sem anomalia,-0.353,-0.192,media,50,Sem risco relevante para aves e ovos no momento.,Sem risco relevante para aves e ovos no momento.,Sem risco relevante para aves e ovos no momento.
202603,-0.14,Neutro,Nordeste,IPCA - Aves e ovos,9,ESTAVEL,sem anomalia,-0.353,-0.339,alta,50,Sem risco relevante para aves e ovos no momento.,Sem risco relevante para aves e ovos no momento.,Sem risco relevante para aves e ovos no momento.
202603,-0.14,Neutro,Sul,IPCA - Aves e ovos,3,ESTAVEL,sem anomalia,0.246,0.22,media,50,Sem risco relevante para aves e ovos no momento.,Sem risco relevante para aves e ovos no momento.,Sem risco relevante para aves e ovos no momento.
202603,-0.14,Neutro,Nordeste,IPCA - Carnes e peixes,8,ESTAVEL,sem anomalia,-0.353,-0.241,media,50,Sem risco relevante para carnes e peixes no momento.,Sem risco relevante para carnes e peixes no momento.,Sem risco relevante para carnes e peixes no momento.
202603,-0.14,Neutro,Nordeste,IPCA - Carnes e peixes,9,ESTAVEL,sem anomalia,-0.353,-0.34,alta,50,Sem risco relevante para carnes e peixes no momento.,Sem risco relevante para carnes e peixes no momento.,Sem risco relevante para carnes e peixes no momento.
202603,-0.14,Neutro,Nordeste,"IPCA - Cereais, leguminosas e oleag",9,ESTAVEL,sem anomalia,-0.353,-0.216,media,50,"Sem risco relevante para cereais, leguminosas e oleag no momento.","Sem risco relevante para cereais, leguminosas e oleag no momento.","Sem risco relevante para cereais, leguminosas e oleag no momento."
202603,-0.14,Neutro,Nordeste,IPCA - Frutas,8,ESTAVEL,sem anomalia,-0.353,-0.243,media,50,Sem risco relevante para frutas no momento.,Sem risco relevante para frutas no momento.,Sem risco relevante para frutas no momento.
202603,-0.14,Neutro,Nordeste,IPCA - Frutas,9,ESTAVEL,sem anomalia,-0.353,-0.318,alta,50,Sem risco relevante para frutas no momento.,Sem risco relevante para frutas no momento.,Sem risco relevante para frutas no momento.
