periodo,ano,mes,id_variavel,variavel,unidade,id_categoria,categoria,valor
201501,2015,1,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.4667
201502,2015,2,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.6872
201503,2015,3,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.7721
201504,2015,4,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,3.9767
201505,2015,5,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.3004
201506,2015,6,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.8697
201507,2015,7,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-0.9532
201508,2015,8,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.2806
201509,2015,9,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.518
201510,2015,10,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-0.4939
201511,2015,11,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,4.0178
201512,2015,12,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.1506
201601,2016,1,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,10.3939
201602,2016,2,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,3.1194
201603,2016,3,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.4344
201604,2016,4,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,3.9644
201605,2016,5,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.2137
201606,2016,6,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.2922
201607,2016,7,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,5.7859
201608,2016,8,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-0.3641
201609,2016,9,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.2825
201610,2016,10,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-0.367
201611,2016,11,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-3.8521
201612,2016,12,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.2114
201701,2017,1,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.762
201702,2017,2,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.1384
201703,2017,3,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.5853
201704,2017,4,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.2289
201705,2017,5,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.3372
201706,2017,6,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-3.6555
201707,2017,7,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.2635
201708,2017,8,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.8582
201709,2017,9,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-4.62
201710,2017,10,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.3379
201711,2017,11,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.6587
201712,2017,12,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.422
201801,2018,1,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,11.9082
201802,2018,2,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-3.9619
201803,2018,3,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.2198
201804,2018,4,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-4.0191
201805,2018,5,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,3.1718
201806,2018,6,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.9757
201807,2018,7,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-0.7576
201808,2018,8,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-3.3588
201809,2018,9,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.9375
201810,2018,10,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.5532
201811,2018,11,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.5834
201812,2018,12,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.7148
201901,2019,1,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,4.5509
201902,2019,2,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,4.8044
201903,2019,3,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,5.8478
201904,2019,4,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.9697
201905,2019,5,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.1103
201906,2019,6,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.2018
201907,2019,7,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-3.2955
201908,2019,8,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-4.5957
201909,2019,9,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.24
201910,2019,10,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.3441
201911,2019,11,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.1532
201912,2019,12,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,7.6108
202001,2020,1,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,3.8709
202002,2020,2,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,4.1132
202003,2020,3,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.4927
202004,2020,4,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,5.7674
202005,2020,5,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.5298
202006,2020,6,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.2283
202007,2020,7,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-2.9481
202008,2020,8,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-0.778
202009,2020,9,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,4.2316
202010,2020,10,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,4.1501
202011,2020,11,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,1.0845
202012,2020,12,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,4.4718
202101,2021,1,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-0.6987
202102,2021,2,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.6851
202103,2021,3,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,-1.2424
202104,2021,4,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,2.4074
202105,2021,5,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.3245
202106,2021,6,2265,IPCA - Variacao mensal,%,acucares,IPCA - Acucares e derivados,0.8401
