periodo,ano,mes,capital,estado,regiao,cod_bcb,variacao_mensal_pct
201501,2015,1,Brasil,BR,Nacional,433,1.24
201502,2015,2,Brasil,BR,Nacional,433,1.22
201503,2015,3,Brasil,BR,Nacional,433,1.32
201504,2015,4,Brasil,BR,Nacional,433,0.71
201505,2015,5,Brasil,BR,Nacional,433,0.74
201506,2015,6,Brasil,BR,Nacional,433,0.79
201507,2015,7,Brasil,BR,Nacional,433,0.62
201508,2015,8,Brasil,BR,Nacional,433,0.22
201509,2015,9,Brasil,BR,Nacional,433,0.54
201510,2015,10,Brasil,BR,Nacional,433,0.82
201511,2015,11,Brasil,BR,Nacional,433,1.01
201512,2015,12,Brasil,BR,Nacional,433,0.96
201601,2016,1,Brasil,BR,Nacional,433,1.27
201602,2016,2,Brasil,BR,Nacional,433,0.9
201603,2016,3,Brasil,BR,Nacional,433,0.43
201604,2016,4,Brasil,BR,Nacional,433,0.61
201605,2016,5,Brasil,BR,Nacional,433,0.78
201606,2016,6,Brasil,BR,Nacional,433,0.35
201607,2016,7,Brasil,BR,Nacional,433,0.52
201608,2016,8,Brasil,BR,Nacional,433,0.44
201609,2016,9,Brasil,BR,Nacional,433,0.08
201610,2016,10,Brasil,BR,Nacional,433,0.26
201611,2016,11,Brasil,BR,Nacional,433,0.18
201612,2016,12,Brasil,BR,Nacional,433,0.3
201701,2017,1,Brasil,BR,Nacional,433,0.38
201702,2017,2,Brasil,BR,Nacional,433,0.33
201703,2017,3,Brasil,BR,Nacional,433,0.25
201704,2017,4,Brasil,BR,Nacional,433,0.14
201705,2017,5,Brasil,BR,Nacional,433,0.31
201706,2017,6,Brasil,BR,Nacional,433,-0.23
201707,2017,7,Brasil,BR,Nacional,433,0.24
201708,2017,8,Brasil,BR,Nacional,433,0.19
201709,2017,9,Brasil,BR,Nacional,433,0.16
201710,2017,10,Brasil,BR,Nacional,433,0.42
201711,2017,11,Brasil,BR,Nacional,433,0.28
201712,2017,12,Brasil,BR,Nacional,433,0.44
201801,2018,1,Brasil,BR,Nacional,433,0.29
201802,2018,2,Brasil,BR,Nacional,433,0.32
201803,2018,3,Brasil,BR,Nacional,433,0.09
201804,2018,4,Brasil,BR,Nacional,433,0.22
201805,2018,5,Brasil,BR,Nacional,433,0.4
201806,2018,6,Brasil,BR,Nacional,433,1.26
201807,2018,7,Brasil,BR,Nacional,433,0.33
201808,2018,8,Brasil,BR,Nacional,433,-0.09
201809,2018,9,Brasil,BR,Nacional,433,0.48
201810,2018,10,Brasil,BR,Nacional,433,0.45
201811,2018,11,Brasil,BR,Nacional,433,-0.21
201812,2018,12,Brasil,BR,Nacional,433,0.15
201901,2019,1,Brasil,BR,Nacional,433,0.32
201902,2019,2,Brasil,BR,Nacional,433,0.43
201903,2019,3,Brasil,BR,Nacional,433,0.75
201904,2019,4,Brasil,BR,Nacional,433,0.57
201905,2019,5,Brasil,BR,Nacional,433,0.13
201906,2019,6,Brasil,BR,Nacional,433,0.01
201907,2019,7,Brasil,BR,Nacional,433,0.19
201908,2019,8,Brasil,BR,Nacional,433,0.11
201909,2019,9,Brasil,BR,Nacional,433,-0.04
201910,2019,10,Brasil,BR,Nacional,433,0.1
201911,2019,11,Brasil,BR,Nacional,433,0.51
201912,2019,12,Brasil,BR,Nacional,433,1.15
202001,2020,1,Brasil,BR,Nacional,433,0.21
202002,2020,2,Brasil,BR,Nacional,433,0.25
202003,2020,3,Brasil,BR,Nacional,433,0.07
202004,2020,4,Brasil,BR,Nacional,433,-0.31
202005,2020,5,Brasil,BR,Nacional,433,-0.38
202006,2020,6,Brasil,BR,Nacional,433,0.26
202007,2020,7,Brasil,BR,Nacional,433,0.36
202008,2020,8,Brasil,BR,Nacional,433,0.24
202009,2020,9,Brasil,BR,Nacional,433,0.64
202010,2020,10,Brasil,BR,Nacional,433,0.86
202011,2020,11,Brasil,BR,Nacional,433,0.89
202012,2020,12,Brasil,BR,Nacional,433,1.35
202101,2021,1,Brasil,BR,Nacional,433,0.25
202102,2021,2,Brasil,BR,Nacional,433,0.86
202103,2021,3,Brasil,BR,Nacional,433,0.93
202104,2021,4,Brasil,BR,Nacional,433,0.31
