periodo,ano,mes,id_categoria,categoria,codigo,nome,unidade,valor
198001,1980,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.61564916057387
198002,1980,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,4.61691885303424
198003,1980,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.03838866463464
198004,1980,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.28611382402557
198005,1980,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.70272065101669
198006,1980,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.30530430706944
198007,1980,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.54561209125259
198008,1980,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,4.94558244282344
198009,1980,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,4.23032531099046
198010,1980,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,9.4805311984776
198011,1980,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.67335975605188
198012,1980,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.61408363651688
198101,1981,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.83751111696695
198102,1981,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.40114938276171
198103,1981,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,4.97174813827477
198104,1981,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.46206675720737
198105,1981,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.55956004750076
198106,1981,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.51778345450973
198107,1981,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.25581958359716
198108,1981,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.49579588921654
198109,1981,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.25684049640323
198110,1981,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.07755623863095
198111,1981,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.27155769685728
198112,1981,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.92541066937771
198201,1982,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.97
198202,1982,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.63669449796618
198203,1982,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.71259019568477
198204,1982,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.88733078811474
198205,1982,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.65854295413002
198206,1982,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,7.1049156490645
198207,1982,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.35792506805384
198208,1982,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.97286443069576
198209,1982,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.08025991265231
198210,1982,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,4.44241701172012
198211,1982,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,5.28845435947976
198212,1982,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,7.80591577510481
198301,1983,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,8.64110031457763
198302,1983,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,7.85814293174301
