periodo,ano,mes,id_ponto,regiao,estado,ndvi,saude_vegetacao
201501,2015,1,Cascavel_PR,Sul,PR,0.3522,moderado
201502,2015,2,Cascavel_PR,Sul,PR,0.3386,moderado
201503,2015,3,Cascavel_PR,Sul,PR,0.3283,moderado
201504,2015,4,Cascavel_PR,Sul,PR,0.2825,estressado
201505,2015,5,Cascavel_PR,Sul,PR,0.3082,moderado
201506,2015,6,Cascavel_PR,Sul,PR,0.3949,moderado
201507,2015,7,Cascavel_PR,Sul,PR,0.3327,moderado
201508,2015,8,Cascavel_PR,Sul,PR,0.3245,moderado
201509,2015,9,Cascavel_PR,Sul,PR,0.3234,moderado
201510,2015,10,Cascavel_PR,Sul,PR,0.2906,estressado
201511,2015,11,Cascavel_PR,Sul,PR,0.3373,moderado
201512,2015,12,Cascavel_PR,Sul,PR,0.3703,moderado
201601,2016,1,Cascavel_PR,Sul,PR,0.3038,moderado
201602,2016,2,Cascavel_PR,Sul,PR,0.3337,moderado
201603,2016,3,Cascavel_PR,Sul,PR,0.3167,moderado
201604,2016,4,Cascavel_PR,Sul,PR,0.3224,moderado
201605,2016,5,Cascavel_PR,Sul,PR,0.3286,moderado
201606,2016,6,Cascavel_PR,Sul,PR,0.333,moderado
201607,2016,7,Cascavel_PR,Sul,PR,0.3213,moderado
201608,2016,8,Cascavel_PR,Sul,PR,0.2659,estressado
201609,2016,9,Cascavel_PR,Sul,PR,0.2749,estressado
201610,2016,10,Cascavel_PR,Sul,PR,0.2356,estressado
201611,2016,11,Cascavel_PR,Sul,PR,0.3525,moderado
201612,2016,12,Cascavel_PR,Sul,PR,0.5956,saudavel
201701,2017,1,Cascavel_PR,Sul,PR,0.453,moderado
201702,2017,2,Cascavel_PR,Sul,PR,0.3804,moderado
201703,2017,3,Cascavel_PR,Sul,PR,0.2875,estressado
201704,2017,4,Cascavel_PR,Sul,PR,0.3212,moderado
201705,2017,5,Cascavel_PR,Sul,PR,0.3526,moderado
201706,2017,6,Cascavel_PR,Sul,PR,0.32,moderado
201707,2017,7,Cascavel_PR,Sul,PR,0.2432,estressado
201708,2017,8,Cascavel_PR,Sul,PR,0.2489,estressado
201709,2017,9,Cascavel_PR,Sul,PR,0.2465,estressado
201710,2017,10,Cascavel_PR,Sul,PR,0.3395,moderado
201711,2017,11,Cascavel_PR,Sul,PR,0.2682,estressado
201712,2017,12,Cascavel_PR,Sul,PR,0.2568,estressado
201801,2018,1,Cascavel_PR,Sul,PR,0.3106,moderado
201802,2018,2,Cascavel_PR,Sul,PR,0.4436,moderado
201803,2018,3,Cascavel_PR,Sul,PR,0.3712,moderado
201804,2018,4,Cascavel_PR,Sul,PR,0.3107,moderado
201805,2018,5,Cascavel_PR,Sul,PR,0.3126,moderado
201806,2018,6,Cascavel_PR,Sul,PR,0.3302,moderado
201807,2018,7,Cascavel_PR,Sul,PR,0.449,moderado
201808,2018,8,Cascavel_PR,Sul,PR,0.2695,estressado
201809,2018,9,Cascavel_PR,Sul,PR,0.256,estressado
201810,2018,10,Cascavel_PR,Sul,PR,0.2942,estressado
201811,2018,11,Cascavel_PR,Sul,PR,0.2679,estressado
201812,2018,12,Cascavel_PR,Sul,PR,0.2717,estressado
201901,2019,1,Cascavel_PR,Sul,PR,0.3663,moderado
201902,2019,2,Cascavel_PR,Sul,PR,0.3818,moderado
201903,2019,3,Cascavel_PR,Sul,PR,0.3536,moderado
201904,2019,4,Cascavel_PR,Sul,PR,0.3349,moderado
201905,2019,5,Cascavel_PR,Sul,PR,0.3366,moderado
201906,2019,6,Cascavel_PR,Sul,PR,0.2966,estressado
201907,2019,7,Cascavel_PR,Sul,PR,0.2688,estressado
201908,2019,8,Cascavel_PR,Sul,PR,0.2939,estressado
201909,2019,9,Cascavel_PR,Sul,PR,0.2917,estressado
201910,2019,10,Cascavel_PR,Sul,PR,0.2686,estressado
201911,2019,11,Cascavel_PR,Sul,PR,0.3237,moderado
201912,2019,12,Cascavel_PR,Sul,PR,0.3318,moderado
202001,2020,1,Cascavel_PR,Sul,PR,0.4188,moderado
202002,2020,2,Cascavel_PR,Sul,PR,0.3327,moderado
202003,2020,3,Cascavel_PR,Sul,PR,0.3157,moderado
202004,2020,4,Cascavel_PR,Sul,PR,0.4168,moderado
202005,2020,5,Cascavel_PR,Sul,PR,0.2993,estressado
202006,2020,6,Cascavel_PR,Sul,PR,0.2579,estressado
202007,2020,7,Cascavel_PR,Sul,PR,0.286,estressado
202008,2020,8,Cascavel_PR,Sul,PR,0.2465,estressado
202009,2020,9,Cascavel_PR,Sul,PR,0.3111,moderado
202010,2020,10,Cascavel_PR,Sul,PR,0.2419,estressado
202011,2020,11,Cascavel_PR,Sul,PR,0.2612,estressado
202012,2020,12,Cascavel_PR,Sul,PR,0.3557,moderado
202101,2021,1,Cascavel_PR,Sul,PR,0.2819,estressado
202102,2021,2,Cascavel_PR,Sul,PR,0.2941,estressado
202103,2021,3,Cascavel_PR,Sul,PR,0.2929,estressado
202104,2021,4,Cascavel_PR,Sul,PR,0.2459,estressado
202105,2021,5,Cascavel_PR,Sul,PR,0.2685,estressado
