periodo,ano,mes,regiao,ndvi_medio_regiao,saude_vegetacao
201501,2015,1,Nordeste,0.2439,estressado
201501,2015,1,Sul,0.4043,moderado
201502,2015,2,Nordeste,0.249,estressado
201502,2015,2,Sul,0.3713,moderado
201503,2015,3,Nordeste,0.2631,estressado
201503,2015,3,Sul,0.3806,moderado
201504,2015,4,Nordeste,0.2787,estressado
201504,2015,4,Sul,0.3552,moderado
201505,2015,5,Nordeste,0.2494,estressado
201505,2015,5,Sul,0.3605,moderado
201506,2015,6,Nordeste,0.2564,estressado
201506,2015,6,Sul,0.3714,moderado
201507,2015,7,Nordeste,0.2413,estressado
201507,2015,7,Sul,0.3697,moderado
201508,2015,8,Nordeste,0.2218,estressado
201508,2015,8,Sul,0.3694,moderado
201509,2015,9,Nordeste,0.2181,estressado
201509,2015,9,Sul,0.3802,moderado
201510,2015,10,Nordeste,0.2,estressado
201510,2015,10,Sul,0.36,moderado
201511,2015,11,Nordeste,0.19,estressado
201511,2015,11,Sul,0.3636,moderado
201512,2015,12,Nordeste,0.207,estressado
201512,2015,12,Sul,0.3866,moderado
201601,2016,1,Nordeste,0.2198,estressado
201601,2016,1,Sul,0.4095,moderado
201602,2016,2,Nordeste,0.3242,moderado
201602,2016,2,Sul,0.4003,moderado
201603,2016,3,Nordeste,0.2369,estressado
201603,2016,3,Sul,0.3706,moderado
201604,2016,4,Nordeste,0.2644,estressado
201604,2016,4,Sul,0.392,moderado
201605,2016,5,Nordeste,0.2297,estressado
201605,2016,5,Sul,0.38,moderado
201606,2016,6,Nordeste,0.2058,estressado
201606,2016,6,Sul,0.3734,moderado
201607,2016,7,Nordeste,0.1993,estressado
201607,2016,7,Sul,0.3415,moderado
201608,2016,8,Nordeste,0.2006,estressado
201608,2016,8,Sul,0.3223,moderado
201609,2016,9,Nordeste,0.214,estressado
201609,2016,9,Sul,0.3501,moderado
201610,2016,10,Nordeste,0.2404,estressado
201610,2016,10,Sul,0.324,moderado
201611,2016,11,Nordeste,0.235,estressado
201611,2016,11,Sul,0.3802,moderado
201612,2016,12,Nordeste,0.2247,estressado
201612,2016,12,Sul,0.4352,moderado
201701,2017,1,Nordeste,0.2249,estressado
201701,2017,1,Sul,0.446,moderado
201702,2017,2,Nordeste,0.257,estressado
201702,2017,2,Sul,0.4147,moderado
201703,2017,3,Nordeste,0.253,estressado
201703,2017,3,Sul,0.3797,moderado
201704,2017,4,Nordeste,0.2533,estressado
201704,2017,4,Sul,0.3771,moderado
201705,2017,5,Nordeste,0.2562,estressado
201705,2017,5,Sul,0.3917,moderado
201706,2017,6,Nordeste,0.2753,estressado
201706,2017,6,Sul,0.3717,moderado
201707,2017,7,Nordeste,0.2294,estressado
201707,2017,7,Sul,0.3464,moderado
201708,2017,8,Nordeste,0.2439,estressado
201708,2017,8,Sul,0.3625,moderado
201709,2017,9,Nordeste,0.2113,estressado
201709,2017,9,Sul,0.328,moderado
201710,2017,10,Nordeste,0.2062,estressado
201710,2017,10,Sul,0.3737,moderado
201711,2017,11,Nordeste,0.2174,estressado
201711,2017,11,Sul,0.3677,moderado
201712,2017,12,Nordeste,0.2255,estressado
201712,2017,12,Sul,0.3676,moderado
201801,2018,1,Nordeste,0.2005,estressado
201801,2018,1,Sul,0.4032,moderado
201802,2018,2,Nordeste,0.2181,estressado
201802,2018,2,Sul,0.3917,moderado
201803,2018,3,Nordeste,0.2582,estressado
201803,2018,3,Sul,0.3765,moderado
201804,2018,4,Nordeste,0.3243,moderado
201804,2018,4,Sul,0.3713,moderado
201805,2018,5,Nordeste,0.2676,estressado
201805,2018,5,Sul,0.3892,moderado
201806,2018,6,Nordeste,0.2325,estressado
201806,2018,6,Sul,0.3659,moderado
201807,2018,7,Nordeste,0.227,estressado
201807,2018,7,Sul,0.3669,moderado
201808,2018,8,Nordeste,0.2096,estressado
201808,2018,8,Sul,0.3217,moderado
201809,2018,9,Nordeste,0.2205,estressado
201809,2018,9,Sul,0.3322,moderado
201810,2018,10,Nordeste,0.2123,estressado
201810,2018,10,Sul,0.3542,moderado
201811,2018,11,Nordeste,0.2215,estressado
201811,2018,11,Sul,0.3508,moderado
201812,2018,12,Nordeste,0.2802,estressado
201812,2018,12,Sul,0.3523,moderado
201901,2019,1,Nordeste,0.2504,estressado
201901,2019,1,Sul,0.4285,moderado
201902,2019,2,Nordeste,0.2604,estressado
201902,2019,2,Sul,0.4,moderado
201903,2019,3,Nordeste,0.279,estressado
201903,2019,3,Sul,0.4128,moderado
201904,2019,4,Nordeste,0.3003,moderado
201904,2019,4,Sul,0.4072,moderado
201905,2019,5,Nordeste,0.299,estressado
201905,2019,5,Sul,0.3724,moderado
201906,2019,6,Nordeste,0.2534,estressado
201906,2019,6,Sul,0.3579,moderado
201907,2019,7,Nordeste,0.2304,estressado
201907,2019,7,Sul,0.3318,moderado
201908,2019,8,Nordeste,0.2241,estressado
201908,2019,8,Sul,0.3206,moderado
201909,2019,9,Nordeste,0.2301,estressado
201909,2019,9,Sul,0.3842,moderado
201910,2019,10,Nordeste,0.2274,estressado
201910,2019,10,Sul,0.3915,moderado
201911,2019,11,Nordeste,0.2248,estressado
201911,2019,11,Sul,0.3693,moderado
201912,2019,12,Nordeste,0.2323,estressado
201912,2019,12,Sul,0.3737,moderado
202001,2020,1,Nordeste,0.285,estressado
202001,2020,1,Sul,0.3697,moderado
202002,2020,2,Nordeste,0.2895,estressado
202002,2020,2,Sul,0.367,moderado
202003,2020,3,Nordeste,0.2851,estressado
202003,2020,3,Sul,0.3804,moderado
202004,2020,4,Nordeste,0.2957,estressado
202004,2020,4,Sul,0.3745,moderado
202005,2020,5,Nordeste,0.3122,moderado
202005,2020,5,Sul,0.3559,moderado
202006,2020,6,Nordeste,0.2838,estressado
202006,2020,6,Sul,0.3349,moderado
202007,2020,7,Nordeste,0.2708,estressado
202007,2020,7,Sul,0.3289,moderado
202008,2020,8,Nordeste,0.2305,estressado
202008,2020,8,Sul,0.3117,moderado
202009,2020,9,Nordeste,0.2444,estressado
202009,2020,9,Sul,0.331,moderado
202010,2020,10,Nordeste,0.2245,estressado
202010,2020,10,Sul,0.3165,moderado
202011,2020,11,Nordeste,0.2436,estressado
