periodo,ano,mes,estado,cidade,precipitacao_total_mm,precip_max_dia_mm,dias_com_chuva,dias_extremo_leve,dias_extremo_moderado,dias_extremo_severo,dias_consecutivos_max,indice_enchente,risco_enchente
201501,2015,1,PR,Curitiba,239.8,22.9,29,0,0,0,22,55.0,CRITICO
201501,2015,1,PR,Londrina,176.5,39.0,15,2,0,0,6,25.0,CRITICO
201502,2015,2,PR,Curitiba,230.4,35.2,23,2,0,0,12,40.0,CRITICO
201502,2015,2,PR,Londrina,219.5,37.7,21,2,0,0,12,40.0,CRITICO
201503,2015,3,PR,Curitiba,164.2,34.9,21,1,0,0,8,25.0,CRITICO
201503,2015,3,PR,Londrina,259.1,47.5,21,2,0,0,7,27.5,CRITICO
201504,2015,4,PR,Curitiba,60.0,21.9,7,0,0,0,3,7.5,MODERADO
201504,2015,4,PR,Londrina,64.1,22.5,7,0,0,0,4,10.0,ALTO
201505,2015,5,PR,Curitiba,101.5,41.0,10,1,0,0,3,12.5,ALTO
201505,2015,5,PR,Londrina,88.4,21.1,12,0,0,0,4,10.0,ALTO
201506,2015,6,PR,Curitiba,107.2,42.1,5,2,0,0,2,15.0,ALTO
201506,2015,6,PR,Londrina,35.5,20.9,3,0,0,0,1,2.5,BAIXO
201507,2015,7,PR,Curitiba,203.0,75.5,10,1,1,0,3,22.5,CRITICO
201507,2015,7,PR,Londrina,118.9,21.0,13,0,0,0,4,10.0,ALTO
201508,2015,8,PR,Curitiba,43.8,25.9,4,0,0,0,3,7.5,MODERADO
201508,2015,8,PR,Londrina,39.5,22.2,3,0,0,0,2,5.0,MODERADO
201509,2015,9,PR,Curitiba,155.8,51.8,14,1,1,0,4,25.0,CRITICO
201509,2015,9,PR,Londrina,234.8,68.0,12,2,2,0,6,45.0,CRITICO
201510,2015,10,PR,Curitiba,162.4,21.9,19,0,0,0,7,17.5,ALTO
201510,2015,10,PR,Londrina,208.7,35.4,16,2,0,0,5,22.5,CRITICO
201511,2015,11,PR,Curitiba,221.8,37.1,24,2,0,0,8,30.0,CRITICO
201511,2015,11,PR,Londrina,399.3,60.2,25,3,1,0,8,45.0,CRITICO
201512,2015,12,PR,Curitiba,213.8,38.7,26,1,0,0,14,40.0,CRITICO
201512,2015,12,PR,Londrina,297.7,23.1,26,0,0,0,10,25.0,CRITICO
201601,2016,1,PR,Curitiba,128.9,46.5,14,1,0,0,4,15.0,ALTO
201601,2016,1,PR,Londrina,293.1,69.3,16,5,1,0,7,52.5,CRITICO
201602,2016,2,PR,Curitiba,252.2,39.9,20,1,0,0,9,27.5,CRITICO
201602,2016,2,PR,Londrina,318.9,47.3,26,2,0,0,16,50.0,CRITICO
201603,2016,3,PR,Curitiba,82.3,13.8,16,0,0,0,4,10.0,ALTO
201603,2016,3,PR,Londrina,103.0,25.0,11,0,0,0,3,7.5,MODERADO
201604,2016,4,PR,Curitiba,106.8,67.8,7,1,1,0,3,22.5,CRITICO
201604,2016,4,PR,Londrina,31.4,28.8,2,0,0,0,2,5.0,MODERADO
201605,2016,5,PR,Curitiba,166.6,31.8,15,1,0,0,7,22.5,CRITICO
201605,2016,5,PR,Londrina,178.8,36.0,17,2,0,0,7,27.5,CRITICO
201606,2016,6,PR,Curitiba,142.9,42.0,9,1,0,0,6,20.0,CRITICO
201606,2016,6,PR,Londrina,84.7,21.1,8,0,0,0,6,15.0,ALTO
201607,2016,7,PR,Curitiba,70.2,43.5,4,1,0,0,2,10.0,ALTO
201607,2016,7,PR,Londrina,22.0,21.6,1,0,0,0,1,2.5,BAIXO
201608,2016,8,PR,Curitiba,161.8,35.7,11,1,0,0,4,15.0,ALTO
201608,2016,8,PR,Londrina,79.7,22.6,8,0,0,0,3,7.5,MODERADO
201609,2016,9,PR,Curitiba,74.0,24.5,8,0,0,0,4,10.0,ALTO
201609,2016,9,PR,Londrina,57.7,18.6,7,0,0,0,4,10.0,ALTO
201610,2016,10,PR,Curitiba,103.7,27.9,17,0,0,0,6,15.0,ALTO
201610,2016,10,PR,Londrina,128.2,45.6,11,1,0,0,4,15.0,ALTO
201611,2016,11,PR,Curitiba,71.6,19.8,14,0,0,0,4,10.0,ALTO
201611,2016,11,PR,Londrina,58.9,15.8,13,0,0,0,5,12.5,ALTO
201612,2016,12,PR,Curitiba,155.9,21.0,21,0,0,0,6,15.0,ALTO
201612,2016,12,PR,Londrina,178.7,29.9,19,0,0,0,7,17.5,ALTO
201701,2017,1,PR,Curitiba,252.6,23.3,28,0,0,0,16,40.0,CRITICO
201701,2017,1,PR,Londrina,183.8,15.4,26,0,0,0,16,40.0,CRITICO
201702,2017,2,PR,Curitiba,84.9,19.0,16,0,0,0,4,10.0,ALTO
201702,2017,2,PR,Londrina,144.7,31.4,15,1,0,0,3,12.5,ALTO
201703,2017,3,PR,Curitiba,93.6,15.4,20,0,0,0,7,17.5,ALTO
201703,2017,3,PR,Londrina,68.4,10.7,12,0,0,0,6,15.0,ALTO
201704,2017,4,PR,Curitiba,103.9,50.1,11,1,1,0,3,22.5,CRITICO
201704,2017,4,PR,Londrina,102.1,32.7,10,1,0,0,3,12.5,ALTO
201705,2017,5,PR,Curitiba,130.0,32.3,9,1,0,0,2,10.0,ALTO
201705,2017,5,PR,Londrina,169.0,55.6,8,2,1,0,4,30.0,CRITICO
201706,2017,6,PR,Curitiba,131.2,55.0,8,1,1,0,5,27.5,CRITICO
201706,2017,6,PR,Londrina,94.2,41.3,6,2,0,0,2,15.0,ALTO
201707,2017,7,PR,Curitiba,12.3,7.2,2,0,0,0,2,5.0,MODERADO
201707,2017,7,PR,Londrina,0.9,0.7,0,0,0,0,0,0.0,NORMAL
201708,2017,8,PR,Curitiba,64.4,22.2,7,0,0,0,3,7.5,MODERADO
201708,2017,8,PR,Londrina,96.4,28.2,8,0,0,0,3,7.5,MODERADO
201709,2017,9,PR,Curitiba,47.2,29.3,3,0,0,0,2,5.0,MODERADO
201709,2017,9,PR,Londrina,15.9,11.4,3,0,0,0,2,5.0,MODERADO
201710,2017,10,PR,Curitiba,179.4,42.4,20,1,0,0,5,17.5,ALTO
201710,2017,10,PR,Londrina,220.4,61.7,16,2,1,0,7,37.5,CRITICO
201711,2017,11,PR,Curitiba,129.4,43.1,15,1,0,0,3,12.5,ALTO
201711,2017,11,PR,Londrina,150.7,28.5,16,0,0,0,6,15.0,ALTO
201712,2017,12,PR,Curitiba,169.9,26.9,20,0,0,0,6,15.0,ALTO
201712,2017,12,PR,Londrina,191.4,34.8,15,1,0,0,12,35.0,CRITICO
201801,2018,1,PR,Curitiba,229.3,32.3,25,1,0,0,19,52.5,CRITICO
201801,2018,1,PR,Londrina,187.8,25.7,20,0,0,0,12,30.0,CRITICO
201802,2018,2,PR,Curitiba,93.6,34.9,15,1,0,0,8,25.0,CRITICO
201802,2018,2,PR,Londrina,104.8,23.8,10,0,0,0,5,12.5,ALTO
201803,2018,3,PR,Curitiba,144.4,17.0,24,0,0,0,8,20.0,CRITICO
201803,2018,3,PR,Londrina,128.7,16.8,25,0,0,0,10,25.0,CRITICO
201804,2018,4,PR,Curitiba,15.0,3.4,6,0,0,0,3,7.5,MODERADO
201804,2018,4,PR,Londrina,9.9,3.1,3,0,0,0,3,7.5,MODERADO
201805,2018,5,PR,Curitiba,27.3,14.7,5,0,0,0,1,2.5,BAIXO
