periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios
201501,2015,1,AL,Nordeste,Mata Atlântica,Maceió,29.2,8,28.470967741935485,24.154838709677417,31
201502,2015,2,AL,Nordeste,Mata Atlântica,Maceió,68.4,6,28.907142857142855,24.425,28
201503,2015,3,AL,Nordeste,Mata Atlântica,Maceió,62.3,5,28.74516129032258,24.383870967741935,31
201504,2015,4,AL,Nordeste,Mata Atlântica,Maceió,27.9,8,29.516666666666666,24.516666666666666,30
201505,2015,5,AL,Nordeste,Mata Atlântica,Maceió,98.5,3,28.129032258064516,23.948387096774194,31
201506,2015,6,AL,Nordeste,Mata Atlântica,Maceió,162.0,0,26.529999999999998,23.003333333333334,30
201507,2015,7,AL,Nordeste,Mata Atlântica,Maceió,163.4,1,25.80322580645161,22.561290322580643,31
201508,2015,8,AL,Nordeste,Mata Atlântica,Maceió,77.9,3,25.88064516129032,22.151612903225807,31
201509,2015,9,AL,Nordeste,Mata Atlântica,Maceió,38.7,7,26.683333333333334,22.853333333333335,30
201510,2015,10,AL,Nordeste,Mata Atlântica,Maceió,28.6,13,27.567741935483873,23.43548387096774,31
201511,2015,11,AL,Nordeste,Mata Atlântica,Maceió,13.700000000000001,21,29.15,24.006666666666668,30
201512,2015,12,AL,Nordeste,Mata Atlântica,Maceió,36.9,9,29.112903225806452,24.42258064516129,31
201601,2016,1,AL,Nordeste,Mata Atlântica,Maceió,71.9,5,29.216129032258067,24.706451612903226,31
201602,2016,2,AL,Nordeste,Mata Atlântica,Maceió,53.4,6,28.92413793103448,24.70344827586207,29
201603,2016,3,AL,Nordeste,Mata Atlântica,Maceió,76.2,3,28.932258064516127,24.86774193548387,31
201604,2016,4,AL,Nordeste,Mata Atlântica,Maceió,79.9,1,28.516666666666666,24.763333333333332,30
201605,2016,5,AL,Nordeste,Mata Atlântica,Maceió,127.9,3,27.451612903225808,23.84193548387097,31
201606,2016,6,AL,Nordeste,Mata Atlântica,Maceió,74.89999999999999,2,26.85666666666667,23.09,30
201607,2016,7,AL,Nordeste,Mata Atlântica,Maceió,70.1,3,26.019354838709678,22.458064516129035,31
201608,2016,8,AL,Nordeste,Mata Atlântica,Maceió,38.9,10,26.448387096774194,22.76451612903226,31
201609,2016,9,AL,Nordeste,Mata Atlântica,Maceió,44.2,6,26.863333333333333,22.990000000000002,30
201610,2016,10,AL,Nordeste,Mata Atlântica,Maceió,35.9,8,28.05806451612903,23.66774193548387,31
201611,2016,11,AL,Nordeste,Mata Atlântica,Maceió,22.0,6,28.483333333333334,24.13,30
201612,2016,12,AL,Nordeste,Mata Atlântica,Maceió,21.2,12,29.203225806451613,24.761290322580646,31
201701,2017,1,AL,Nordeste,Mata Atlântica,Maceió,70.4,2,28.41290322580645,24.93548387096774,31
201702,2017,2,AL,Nordeste,Mata Atlântica,Maceió,66.6,1,28.664285714285715,25.150000000000002,28
